CCDM,Qual,Ncomp,comp_id,HIP,Hp,theta,rho,recno
00003-4417,A,2,A,25,6.894,,,1
00003-4417,A,2,B,25,7.551,315.8,0.463,2
00004-4711,A,2,A,37,10.966,,,3
00004-4711,A,2,B,37,11.745,332.0,0.23,4
00005+6713,A,2,A,40,11.007,,,5
00005+6713,A,2,B,40,11.176,224.9,8.2,6
00005-7212,A,2,A,45,9.89,,,7
00005-7212,A,2,B,45,11.954,242.5,2.83,8
00006-5306,A,2,A,50,6.674,,,9
00006-5306,A,2,B,50,9.962,324.8,1.7,10
00006-6641,A,2,A,55,7.707,,,11
00006-6641,A,2,B,55,9.499,273.6,3.81,12
00008+3647,A,2,A,71,8.418,,,13
00008+3647,A,2,B,70,10.587,233.87,15.35,14
00012+1358,A,2,A,96,10.608,,,15
00012+1358,A,2,B,96,11.146,203.9,11.8,16
00014+3937,A,2,A,110,9.202,,,17
00014+3937,A,2,B,110,9.843,176.3,1.2,18
00015+3044,A,2,A,114,8.279,,,19
00015+3044,A,2,B,114,9.908,196.0,1.1,20
00019-4137,A,2,A,151,7.95,,,21
00019-4137,A,2,B,151,10.77,16.0,0.71,22
00021-6817,A,2,A,169,9.611,,,23
00021-6817,A,2,B,169,10.967,125.0,4.21,24
00022+5958,A,2,A,174,9.025,,,25
00022+5958,A,2,B,174,11.646,248.1,12.88,26
00023-2708,A,2,A,178,8.682,,,27
00023-2708,A,2,B,178,9.043,287.5,3.073,28
00024+1047,A,2,A,190,9.374,,,29
00024+1047,A,2,B,190,9.907,218.0,0.18,30
00026+1841,B,2,A,201,8.486,,,31
00026+1841,B,2,B,201,10.617,165.0,0.15,32
00026+6606,B,2,A,207,6.038,,,33
00026+6606,B,2,B,209,7.301,70.43,15.2,34
00026-0829,A,2,A,210,9.818,,,35
00026-0829,A,2,B,210,10.066,13.0,0.268,36
00028+0208,A,2,A,223,7.46,,,37
00028+0208,A,2,B,223,9.383,168.0,1.55,38
00028+8017,A,2,A,221,7.788,,,39
00028+8017,A,2,B,227,9.916,23.4,16.75,40
00029+4715,A,2,B,229,8.968,,,41
00029+4715,A,2,A,229,9.184,113.2,1.622,42
00031+2929,D,2,A,252,10.519,,,43
00031+2929,D,2,B,252,13.887,137.0,5.6,44
00031+5228,A,2,A,250,8.406,,,45
00031+5228,A,2,B,250,11.115,327.0,0.35,46
00033-0409,D,2,A,267,8.207,,,47
00033-0409,D,2,B,267,12.201,64.0,1.82,48
00033-2337,B,2,A,261,9.273,,,49
00033-2337,B,2,B,261,12.36,156.0,3.62,50
00034+6338,A,2,B,274,6.522,,,51
00034+6338,A,2,A,274,8.323,38.0,0.18,52
00034-2900,A,2,A,275,10.208,,,53
00034-2900,A,2,B,275,10.372,289.0,0.43,54
00039-5750,A,2,A,306,9.407,,,55
00039-5750,A,2,S,306,9.534,298.0,0.436,56
00040+1209,A,2,A,316,7.35,,,57
00040+1209,A,2,B,316,10.573,359.0,5.75,58
00040-4807,A,2,A,313,8.268,,,59
00040-4807,A,2,B,313,10.29,59.3,3.2,60
00046+3416,C,3,A,374,7.812,,,61
00046+3416,C,3,B,374,8.096,143.4,0.724,62
00046+3416,C,3,C,375,10.134,1.9,22.72,63
00046+4206,D,2,A,365,6.2,,,64
00046+4206,D,2,B,365,9.856,169.2,5.34,65
00048+3810,A,2,A,385,9.96,,,66
00048+3810,A,2,B,385,10.598,15.3,0.662,67
00048+4358,A,2,A,391,8.719,,,68
00048+4358,A,2,B,391,9.466,345.8,1.84,69
00049+3005,A,2,A,392,8.249,,,70
00049+3005,A,2,B,392,9.892,49.3,0.79,71
00049+5832,A,2,A,398,6.7,,,72
00049+5832,A,2,B,398,9.509,298.7,3.85,73
00050+4540,A,2,A,404,7.679,,,74
00050+4540,A,2,B,404,9.836,337.3,3.98,75
00050+6631,A,2,A,412,8.818,,,76
00050+6631,A,2,B,412,11.895,126.0,1.84,77
00052+3020,A,2,A,423,7.871,,,78
00052+3020,A,2,B,426,9.547,51.2,12.6,79
00055+3406,A,2,A,461,8.196,,,80
00055+3406,A,2,B,461,9.756,310.0,0.15,81
00055+7617,D,2,A,465,8.898,,,82
00055+7617,D,2,B,455,12.153,312.76,30.42,83
00057+1750,A,2,A,482,8.515,,,84
00057+1750,A,2,B,482,8.649,148.29,7.687,85
00057+4548,A,2,A,473,9.011,,,86
00057+4548,A,2,B,473,9.075,178.25,6.041,87
00058-6833,B,2,A,488,10.265,,,88
00058-6833,B,2,B,488,12.393,261.0,0.27,89
00059+1805,A,2,A,495,9.343,,,90
00059+1805,A,2,B,495,9.629,131.5,3.445,91
00059+7844,D,2,A,487,9.616,,,92
