HIP,Plx,e_Plx,pmRA,pmDE,e_pmRA,e_pmDE,pmDE:pmRA
25,13.74,0.98,58.36,-108.64,0.73,0.68,-0.02
37,3.74,2.72,-6.92,7.03,2.23,2.14,-0.04
45,15.1,1.92,-37.2,-2.78,1.95,1.64,0.08
50,16.89,0.8,52.98,-20.52,0.56,0.55,-0.32
110,20.42,1.91,-29.92,-41.34,1.88,1.3,0.23
114,9.93,1.95,-10.28,-38.64,1.97,1.17,0.03
151,7.56,1.37,89.74,-15.52,1.03,0.96,-0.04
190,10.47,1.17,-49.43,-118.65,1.06,0.79,0.47
201,10.06,0.99,-13.19,17.41,0.7,0.56,0.38
210,7.65,1.93,-2.72,-4.67,2.27,0.96,0.29
223,21.58,1.65,62.25,-91.23,2.35,1.07,0.04
229,2.16,2.57,18.8,-5.1,1.59,1.59,-0.08
250,5.19,1.99,-8.04,-16.48,1.55,1.2,-0.18
274,0.93,0.57,-3.27,-1.83,0.55,0.49,-0.13
275,5.68,4.61,-24.45,-20.17,7.89,2.95,-0.43
306,14.36,2.44,150.24,-58.93,2.11,2.2,0.02
385,9.37,2.81,22.27,-64.96,2.13,2.35,0.24
391,6.95,1.91,-91.44,-29.53,1.63,1.22,-0.22
392,10.47,1.53,71.44,-33.54,1.91,0.93,-0.08
412,6.19,1.54,43.49,0.09,1.15,1.03,0.02
461,11.04,0.91,-14.88,26.52,0.87,0.56,0.15
488,7.92,1.61,-62.33,-34.68,1.57,1.49,-0.23
497,7.05,1.15,-6.91,-1.86,0.83,0.9,-0.2
508,3.28,0.85,-2.99,-2.59,0.82,0.64,0.09
510,11.07,1.0,21.0,-10.87,0.89,0.62,0.47
513,2.09,1.2,-9.03,15.82,1.6,1.16,-0.3
515,7.38,1.55,-9.75,-46.6,2.33,0.92,0.06
518,49.3,1.05,247.36,17.77,0.81,0.7,-0.04
584,7.89,2.34,72.06,-29.35,2.62,1.29,0.3
603,5.87,1.72,-4.44,-5.68,1.83,0.91,0.26
634,7.19,0.92,7.74,-16.16,0.72,0.62,-0.03
674,7.73,3.35,121.71,6.99,3.21,3.15,-0.01
689,12.72,0.86,114.26,9.75,1.06,0.57,-0.13
717,1.36,1.53,5.08,3.16,1.72,1.16,0.24
721,2.6,1.43,-0.01,-7.67,1.83,0.86,-0.16
730,7.0,0.74,46.45,13.08,0.88,0.87,-0.36
743,1.37,1.61,0.01,-7.69,1.21,1.41,-0.24
760,8.56,1.17,106.17,-39.37,1.12,1.47,-0.16
761,14.57,1.34,72.57,-9.99,1.68,0.82,0.11
763,1.42,1.15,7.72,-2.76,0.89,0.97,-0.06
768,13.8,1.3,276.8,38.24,1.32,0.81,0.36
777,8.17,1.89,-8.94,1.65,2.54,1.06,0.05
786,6.9,1.41,-50.81,-23.66,1.4,1.17,0.06
794,17.08,1.86,-68.9,-140.78,1.49,1.17,0.01
823,10.83,2.1,-8.2,14.07,1.79,1.34,-0.03
831,8.5,2.9,82.16,-25.58,2.27,3.4,-0.14
853,4.11,2.38,16.06,10.97,2.97,2.47,-0.18
862,13.51,2.44,15.68,-42.51,1.89,2.34,-0.14
865,15.06,0.7,121.5,18.57,0.76,0.64,0.16
876,1.62,0.92,7.58,-1.36,0.75,0.75,-0.07
913,5.09,1.26,18.94,-2.2,0.79,1.1,0.08
923,3.47,1.9,-5.18,-2.52,1.51,1.32,0.22
927,4.31,1.11,38.44,-6.92,0.86,1.07,-0.23
945,2.14,1.6,3.52,-10.46,1.39,1.24,-0.29
947,6.88,1.58,101.7,-11.0,1.77,0.96,0.34
956,12.79,1.43,-96.26,37.11,1.55,0.72,0.09
957,1.99,0.98,12.61,-1.12,0.85,0.84,-0.06
975,17.21,0.76,66.87,-150.8,0.58,0.7,0.0
981,9.42,0.74,38.9,-12.28,0.56,0.56,-0.38
